gene,cts,sample,plate,experimental_replicate
RPL32,27.218,CSB-REF_A_5,plate_2,1
RPL32,27.147,CSB-REF_A_5,plate_2,1
RPL32,27.558,CSB_D_8,plate_2,1
RPL32,26.986,POP2_A_3,plate_2,1
RPL32,27.023,POP2_A_3,plate_2,1
RPL32,27.672,CSB_C_8,plate_2,1
RPL32,27.38,CSB_C_8,plate_2,1
RPL32,26.964,POP_A_4,plate_2,1
RPL32,26.868,POP_A_4,plate_2,1
RPL32,27.591,POP2_B_6,plate_2,1
WSP,24.124,CSB_B_5,plate_2,1
WSP,23.386,CSB_B_6,plate_2,1
WSP,25.89,CSB_A_5,plate_2,1
WSP,25.652,CSB_A_5,plate_2,1
WSP,18.593,POP2_C_7,plate_2,1
WSP,18.581,POP2_C_7,plate_2,1
WSP,25.144,CSB-REF_A_6,plate_2,1
WSP,25.162,CSB-REF_A_6,plate_2,1
WSP,24.143,CSB_B_5,plate_2,1
WSP,25.035,CSB_A_8,plate_2,1
WSP,24.989,CSB_A_8,plate_2,1
WSP,24.595,POP2_A_10,plate_2,1
WSP,24.671,POP2_A_10,plate_2,1
WSP,22.855,CSB_C_5,plate_2,1
WSP,22.968,CSB_C_5,plate_2,1
WSP,23.342,CSB_B_6,plate_2,1
RPL32,27.626,CSB_B_5,plate_2,1
RPL32,27.98,CSB_B_6,plate_2,1
RPL32,26.768,CSB_A_5,plate_2,1
RPL32,26.82,CSB_A_5,plate_2,1
RPL32,27.379,POP2_C_7,plate_2,1
RPL32,27.322,POP2_C_7,plate_2,1
RPL32,27.456,CSB-REF_A_6,plate_2,1
RPL32,27.429,CSB-REF_A_6,plate_2,1
RPL32,27.907,CSB_B_5,plate_2,1
RPL32,26.978,CSB_A_8,plate_2,1
RPL32,27.006,CSB_A_8,plate_2,1
RPL32,26.848,POP2_A_10,plate_2,1
RPL32,26.993,POP2_A_10,plate_2,1
RPL32,27.456,CSB_C_5,plate_2,1
RPL32,27.324,CSB_C_5,plate_2,1
RPL32,27.503,CSB_B_6,plate_2,1
WSP,18.908,POP_C_4,plate_2,1
WSP,20.922,POP2_B_7,plate_2,1
WSP,18.312,POP2_C_8,plate_2,1
WSP,18.196,POP2_C_8,plate_2,1
WSP,23.044,CSB_E_3,plate_2,1
WSP,23.102,CSB_E_3,plate_2,1
WSP,25.328,CSB-REF_A_7,plate_2,1
WSP,25.216,CSB-REF_A_7,plate_2,1
WSP,18.898,POP_C_4,plate_2,1
WSP,23.833,CSB_E_2,plate_2,1
WSP,23.387,CSB_E_2,plate_2,1
WSP,18.746,POP_C_6,plate_2,1
WSP,18.598,POP_C_6,plate_2,1
WSP,23.086,POP_A_6,plate_2,1
WSP,23.106,POP_A_6,plate_2,1
WSP,20.938,POP2_B_7,plate_2,1
RPL32,26.98,POP_C_4,plate_2,1
RPL32,27.446,POP2_B_7,plate_2,1
RPL32,27.163,POP2_C_8,plate_2,1
RPL32,27.234,POP2_C_8,plate_2,1
RPL32,27.912,CSB_E_3,plate_2,1
RPL32,27.655,CSB_E_3,plate_2,1
RPL32,26.958,CSB-REF_A_7,plate_2,1
RPL32,27.158,CSB-REF_A_7,plate_2,1
RPL32,27.242,POP_C_4,plate_2,1
RPL32,27.476,CSB_E_2,plate_2,1
RPL32,27.513,CSB_E_2,plate_2,1
RPL32,27.459,POP_C_6,plate_2,1
RPL32,27.472,POP_C_6,plate_2,1
RPL32,26.874,POP_A_6,plate_2,1
RPL32,27.16,POP_A_6,plate_2,1
RPL32,27.483,POP2_B_7,plate_2,1
WSP,21.416,POP2_B_8,plate_2,1
WSP,23.059,CSB_D_7,plate_2,1
WSP,22.461,CSB_C_7,plate_2,1
WSP,22.779,CSB_C_7,plate_2,1
WSP,25.056,CSB-REF_A_8,plate_2,1
WSP,24.953,CSB-REF_A_8,plate_2,1
WSP,21.456,POP2_B_8,plate_2,1
WSP,22.627,CSB_E_1,plate_2,1
WSP,22.626,CSB_E_1,plate_2,1
WSP,24,POP_A_1,plate_2,1
WSP,23.99,POP_A_1,plate_2,1
WSP,23.728,CSB_B_4,plate_2,1
WSP,23.718,CSB_B_4,plate_2,1
WSP,23.097,CSB_D_7,plate_2,1
RPL32,27.94,POP2_B_8,plate_2,1
RPL32,27.924,CSB_D_7,plate_2,1
RPL32,27.096,CSB_C_7,plate_2,1
RPL32,27.093,CSB_C_7,plate_2,1
RPL32,27.23,CSB-REF_A_8,plate_2,1
RPL32,27.288,CSB-REF_A_8,plate_2,1
RPL32,27.968,POP2_B_8,plate_2,1
RPL32,27.778,CSB_E_1,plate_2,1
RPL32,27.738,CSB_E_1,plate_2,1
RPL32,27.189,POP_A_1,plate_2,1
RPL32,27.436,POP_A_1,plate_2,1
RPL32,27.486,CSB_B_4,plate_2,1
RPL32,27.564,CSB_B_4,plate_2,1
RPL32,27.7,CSB_D_7,plate_2,1
WSP,23.8,CSB_B_4,plate_1,2
WSP,22.31,CSB_E_1,plate_1,2
WSP,23.904,CSB_A_1,plate_1,2
WSP,23.881,CSB_A_1,plate_1,2
WSP,22.833,CSB_C_4,plate_1,2
WSP,22.907,CSB_C_4,plate_1,2
WSP,35.096,CSB-REF_A_1,plate_1,2
WSP,34.484,CSB-REF_A_1,plate_1,2
WSP,23.77,CSB_B_4,plate_1,2
WSP,22.911,POP2_B_4,plate_1,2
WSP,22.877,POP2_B_4,plate_1,2
WSP,23.787,CSB_B_3,plate_1,2
WSP,23.947,CSB_B_3,plate_1,2
WSP,22.851,POP_A_2,plate_1,2
WSP,22.881,POP_A_2,plate_1,2
WSP,22.347,CSB_E_1,plate_1,2
RPL32,27.776,CSB_B_4,plate_1,2
RPL32,28.06,CSB_E_1,plate_1,2
RPL32,27.258,CSB_A_1,plate_1,2
RPL32,27.161,CSB_A_1,plate_1,2
RPL32,27.34,CSB_C_4,plate_1,2
RPL32,27.902,CSB_C_4,plate_1,2
RPL32,NA,CSB-REF_A_1,plate_1,2
RPL32,NA,CSB-REF_A_1,plate_1,2
RPL32,27.542,CSB_B_4,plate_1,2
RPL32,27.557,POP2_B_4,plate_1,2
RPL32,27.425,POP2_B_4,plate_1,2
RPL32,27.191,CSB_B_3,plate_1,2
RPL32,27.108,CSB_B_3,plate_1,2
RPL32,26.98,POP_A_2,plate_1,2
RPL32,26.769,POP_A_2,plate_1,2
RPL32,27.483,CSB_E_1,plate_1,2
WSP,22.88,CSB_D_4,plate_1,2
WSP,25.818,POP_B_3,plate_1,2
